Head Pose,Left Arm Pose,Right Arm Pose
"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.847998304005088, 0.32982091628272336, -0.41486990682251124, -0.5000000000000001], [2.7755575615628914e-17, 0.7827749746443304, 0.6223048602337666, 0.7499999999999999], [0.5299989400031799, -0.5277134660523575, 0.663791850916018, 0.8000000000000002], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.847998304005088, 0.32982091628272336, -0.4148699068225112, -0.5000000000000001], [0.0, 0.7827749746443304, 0.6223048602337666, 0.7499999999999999], [0.5299989400031799, -0.5277134660523575, 0.663791850916018, 0.8000000000000002], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9999999403953531, -0.00027786971587785215, 0.00010991620405076218, -0.00010559760461810115], [0.0002802102029686356, 0.999760150901244, -0.02189973331889215, -0.029541105319483268], [-0.00010380456621095392, 0.021899763868245464, 0.9997601509176056, -0.017779947882209338], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9994205832440051, 0.03401166182799959, -0.0013236392883788763, -0.00187375751214428], [-0.033591214745801415, 0.991849183515722, 0.12290992162415534, 1.5829368806954767], [0.00549322146566397, -0.12279424496701219, 0.9924169188041259, -0.014640228404263746], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9994302391502559, 0.03372434747784965, -0.0013800674585552194, -0.0020853237032375806], [-0.03330697643190991, 0.9920331239111213, 0.12149465738915788, 1.5841646311017172], [0.00546640062221128, -0.12137946576691286, 0.9925911427648129, -0.015426899084816485], [0.0, 0.0, 0.0, 1.0]]","[[0.6877822279930115, -0.7035625576972961, -0.1787600964307785, -0.23372621834278107], [0.6121458411216736, 0.694485604763031, -0.378109872341156, 1.2846884727478027], [0.39017030596733093, 0.1506299376487732, 0.9083378911018372, -0.2110721915960312], [0.0, 0.0, 0.0, 1.0]]","[[0.4921368658542633, 0.8669427633285522, -0.07881292700767517, 0.14474734663963318], [-0.4649357497692108, 0.18522518873214722, -0.8657518029212952, 1.2675715684890747], [-0.7359591722488403, 0.46271127462387085, 0.49422889947891235, -0.1930854320526123], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994308352104955, 0.03369990629209551, -0.0015385249391470296, -0.001991364599703295], [-0.03326604249821634, 0.9920898079825893, 0.12104208733790668, 1.583568426179002], [0.005605462170737598, -0.1209220144534752, 0.9926461577827999, -0.014855918215514421], [0.0, 0.0, 0.0, 1.0]]","[[0.6877822279930115, -0.7035625576972961, -0.1787600964307785, -0.23372621834278107], [0.6121458411216736, 0.694485604763031, -0.378109872341156, 1.2846884727478027], [0.39017030596733093, 0.1506299376487732, 0.9083378911018372, -0.2110721915960312], [0.0, 0.0, 0.0, 1.0]]","[[0.4921368658542633, 0.8669427633285522, -0.07881292700767517, 0.14474734663963318], [-0.4649357497692108, 0.18522518873214722, -0.8657518029212952, 1.2675715684890747], [-0.7359591722488403, 0.46271127462387085, 0.49422889947891235, -0.1930854320526123], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994308352104955, 0.03369990629209551, -0.0015385249391470296, -0.001991364599703295], [-0.03326604249821634, 0.9920898079825893, 0.12104208733790668, 1.583568426179002], [0.005605462170737598, -0.1209220144534752, 0.9926461577827999, -0.014855918215514421], [0.0, 0.0, 0.0, 1.0]]","[[0.684426486492157, -0.7072523832321167, -0.17707175016403198, -0.23420006036758423], [0.6140825152397156, 0.6901314854621887, -0.38291147351264954, 1.2845805883407593], [0.39301782846450806, 0.15333807468414307, 0.9066556096076965, -0.21131694316864014], [0.0, 0.0, 0.0, 1.0]]","[[0.5003858208656311, 0.8622108101844788, -0.07878056913614273, 0.14482493698596954], [-0.4683484733104706, 0.19302740693092346, -0.8622006177902222, 1.267848014831543], [-0.7281920313835144, 0.46832963824272156, 0.5004034042358398, -0.19272905588150024], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994304180705972, 0.033682668385809876, -0.002074189137004125, -0.0019858553240630346], [-0.03318264541237931, 0.9920626875139053, 0.12128706028016058, 1.583642998952247], [0.0061429975300209645, -0.12114915500132603, 0.9926152828388257, -0.015282829818179876], [0.0, 0.0, 0.0, 1.0]]","[[0.6826393604278564, -0.711155891418457, -0.1681087166070938, -0.2348266988992691], [0.6177483797073364, 0.6844881772994995, -0.38712096214294434, 1.2843719720840454], [0.3903718590736389, 0.16041503846645355, 0.9065741896629333, -0.21134300529956818], [0.0, 0.0, 0.0, 1.0]]","[[0.500154972076416, 0.8623360395431519, -0.0788758248090744, 0.14494433999061584], [-0.4709891974925995, 0.19447186589241028, -0.8604356646537781, 1.267805576324463], [-0.7266457080841064, 0.46750080585479736, 0.5034171938896179, -0.1924687772989273], [0.0, 0.0, 0.0, 1.0]]"
